Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
mangifera-indica-seed-oil,Mangifera Indica Seed Oil,"Mango Seed Oil, Mango Seed Butter",emollient,"Mangifera Indica Seed Oil, yang lebih dikenal sebagai Minyak Biji Mangga, adalah minyak nabati yang diekstrak dari biji (kernel) buah mangga. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam lemak esensial seperti asam oleat dan stearat, serta mengandung antioksidan alami seperti vitamin A, vitamin D, dan polifenol. Dalam perawatan kulit, bahan ini sangat efektif untuk menghidrasi secara mendalam, memperkuat sawar kulit (skin barrier), dan meningkatkan elastisitas kulit tanpa memberikan rasa lengket atau berminyak yang berlebih. Sifatnya yang menenangkan juga menjadikannya bahan ideal untuk merawat kulit kering, sensitif, maupun kondisi kulit seperti eksim. Selain itu, dalam perawatan rambut, minyak ini membantu menutrisi batang rambut, memberikan kilau alami, dan menjaga kesehatan kulit kepala.",Normal
mannitol,Mannitol,,moisturizer/humectant,"Mannitol adalah gula alkohol alami yang berasal dari tanaman, alga, dan jamur, yang berfungsi sebagai pelembap (humektan) dan antioksidan efektif dalam perawatan kulit. Bahan ini bekerja dengan menarik dan mengikat molekul air untuk menjaga hidrasi, kelembutan, dan elastisitas kulit tanpa rasa lengket. Sebagai antioksidan, Mannitol membantu melindungi sel-sel kulit dari kerusakan akibat radikal bebas dan stres oksidatif yang dipicu oleh paparan sinar UV serta polusi, sehingga bermanfaat untuk mencegah penuaan dini. Selain manfaat hidrasinya, bahan ini sering digunakan sebagai penstabil formula dan pengontrol viskositas untuk menciptakan tekstur produk yang lebih halus dan mewah. Sifatnya yang sangat lembut, aman, dan menenangkan membuat Mannitol ideal untuk digunakan dalam berbagai produk seperti serum, pelembap, hingga tabir surya bagi pemilik kulit sensitif.",Normal
mannose,Mannose,,moisturizer/humectant,"Mannose adalah molekul gula sederhana (monosakarida) yang memiliki struktur mirip dengan glukosa dan ditemukan secara alami dalam berbagai buah-buahan seperti cranberry, apel, dan jeruk, serta di dalam sel tubuh manusia. Dalam produk perawatan kulit, bahan ini berfungsi sebagai pelembap (humektan) yang efektif karena kemampuannya untuk menarik dan mengikat air pada lapisan kulit, sehingga membantu meningkatkan hidrasi dan elastisitas wajah. Selain manfaat hidrasinya, Mannose juga berperan penting dalam proses glikosilasi protein yang mendukung kesehatan metabolisme sel dan sering digunakan dalam industri farmasi untuk mendukung kesehatan saluran kemih dengan mencegah adhesi bakteri pada dinding kandung kemih.",Normal
melaleuca-alternifolia-leaf-extract,Melaleuca Alternifolia Leaf Extract,Tea Tree Leaf Extract,"antimicrobial/antibacterial, perfuming","Melaleuca Alternifolia (Tea Tree) Leaf Extract adalah bahan alami yang berasal dari daun pohon teh asal Australia yang dikenal karena sifat antimikroba dan anti-inflamasinya yang kuat. Dalam perawatan kulit, ekstrak ini sangat efektif untuk membantu mengatasi masalah jerawat dengan cara menekan pertumbuhan bakteri penyebab jerawat serta menenangkan kemerahan dan iritasi pada kulit. Selain itu, bahan ini juga berfungsi sebagai agen pemurni yang membantu mengontrol produksi minyak berlebih dan membersihkan pori-pori, menjadikannya pilihan populer untuk produk pembersih, toner, dan perawatan khusus kulit berminyak atau berjerawat.",Berminyak
melaleuca-alternifolia-leaf-oil,Melaleuca Alternifolia Leaf Oil,"Tea Tree Oil, TTO","soothing, anti-acne, antioxidant, antimicrobial/antibacterial, perfuming","Melaleuca Alternifolia Leaf Oil, yang sangat populer dengan nama Tea Tree Oil, adalah minyak esensial alami yang diekstrak dari daun pohon teh asal Australia. Bahan ini telah lama dikenal karena sifat antibakteri, antijamur, dan anti-inflamasi yang sangat kuat, menjadikannya standar emas dalam perawatan kulit berjerawat untuk membantu melawan bakteri penyebab jerawat serta meredakan kemerahan. Selain sebagai bahan anti-acne, minyak ini juga sering digunakan dalam produk perawatan rambut untuk mengatasi ketombe dan menjaga kesehatan kulit kepala. Meskipun memiliki banyak manfaat, penggunaannya harus dilakukan dengan hati-hati atau dalam konsentrasi yang tepat karena sifatnya yang kuat dapat menyebabkan iritasi pada kulit sensitif.",Berminyak
melaleuca-alternifolia-leaf-water,Melaleuca Alternifolia Leaf Water,Tea Tree Water,"antimicrobial/antibacterial, astringent","Melaleuca Alternifolia Leaf Water, atau dikenal sebagai air pohon teh, adalah bahan alami yang diperoleh dari proses distilasi daun tanaman Melaleuca alternifolia asal Australia. Bahan ini memiliki sifat antimikroba dan antiseptik alami yang sangat efektif untuk melawan bakteri penyebab jerawat, virus, serta jamur tanpa menyebabkan iritasi sekuat minyak esensialnya. Selain berfungsi sebagai astringen yang membantu mengecilkan pori-pori dan mengontrol produksi minyak berlebih (sebum), air pohon teh juga memiliki kemampuan menenangkan untuk meredakan kemerahan, gatal, dan iritasi pada kulit sensitif atau bermasalah. Karena karakteristiknya yang menyegarkan dan mampu membersihkan secara mendalam, bahan ini sering digunakan dalam toner, pembersih wajah, dan produk perawatan kulit kepala untuk menjaga kesehatan serta kejernihan kulit.",Berminyak
melaleuca-leucadendron-cajuputi-leaf-oil,Melaleuca Leucadendron Cajuputi Leaf Oil,"Cajeput Essential Oil, Melaleuca Minor",perfuming,"Melaleuca Leucadendron Cajuputi Leaf Oil, yang lebih dikenal sebagai minyak kayu putih atau Cajeput Essential Oil, adalah minyak atsiri alami yang diperoleh melalui penyulingan uap daun dan ranting pohon kayu putih. Dalam industri perawatan diri, bahan ini berfungsi sebagai agen pewangi (perfuming) dengan aroma herba yang segar dan tajam, serta memberikan efek relaksasi melalui aromaterapi untuk menurunkan stres dan meningkatkan fokus. Selain aromanya yang khas, minyak ini memiliki sifat antiseptik, anti-inflamasi, dan analgesik yang efektif untuk meredakan nyeri otot, gatal akibat gigitan serangga, serta memberikan sensasi hangat yang menenangkan pada kulit. Karena kemampuannya dalam melawan bakteri dan jamur, bahan ini juga sering digunakan sebagai pengawet alami dalam formulasi kosmetik dan produk farmasi untuk menjaga kebersihan serta stabilitas produk.",Berminyak
melaleuca-teretifolia-branch-leaf-oil,Melaleuca Teretifolia Branch/​Leaf Oil,,perfuming,"Melaleuca Teretifolia Branch/Leaf Oil, yang juga dikenal sebagai Honey Myrtle, adalah minyak esensial langka asal Australia yang diperoleh melalui distilasi uap dari daun dan ranting tanaman Melaleuca teretifolia. Dalam perawatan kulit, bahan ini sangat dihargai karena kandungan sitralnya yang sangat tinggi, memberikan sifat antimikroba, antiseptik, dan pemurni kulit yang kuat untuk membantu mengatasi jerawat serta menyeimbangkan produksi sebum pada kulit berminyak. Selain manfaat fungsionalnya, minyak ini berfungsi sebagai agen pewangi alami dengan aroma sitrus yang manis menyerupai madu, memberikan efek menenangkan sekaligus menyegarkan bagi pikiran. Karena kemampuannya dalam mempercepat regenerasi sel dan melindungi kulit dari stres oksidatif, bahan ini sering ditemukan dalam berbagai produk seperti pembersih wajah, serum, dan pelembap untuk menciptakan kompleksi wajah yang lebih bersih dan sehat.",Normal
melissa-officinalis-leaf-oil,Melissa Officinalis Leaf Oil,"Balm Mint Leaf Oil, Lemon Balm Leaf Oil","antioxidant, perfuming, antimicrobial/antibacterial","Melissa Officinalis Leaf Oil, yang juga dikenal sebagai Lemon Balm atau Balm Mint Leaf Oil, adalah minyak esensial alami yang diperoleh melalui distilasi uap dari daun dan bunga tanaman melissa. Dalam perawatan kulit, bahan ini berfungsi sebagai antioksidan kuat yang melindungi kulit dari radikal bebas serta memiliki sifat antimikroba yang efektif untuk mengatasi bakteri penyebab jerawat dan infeksi jamur. Minyak ini sangat dihargai karena kemampuannya dalam menenangkan kulit yang teriritasi atau sensitif, serta memberikan aroma sitrus yang segar untuk menutupi bau tidak sedap dalam formula produk. Selain manfaatnya untuk kulit, bahan ini juga digunakan untuk menjaga kesehatan kulit kepala dan memberikan efek relaksasi yang membantu mengurangi stres. Karena mengandung komponen pewangi alami, penggunaan konsentrasi tinggi disarankan untuk dilakukan dengan hati-hati guna menghindari risiko iritasi pada kulit yang sangat sensitif.",Berminyak
mentha-piperita-leaf-oil,Mentha Piperita Leaf Oil,Peppermint Leaf Oil,,"Mentha Piperita (Peppermint) Leaf Oil adalah minyak esensial alami yang dikenal karena kandungan mentholnya yang tinggi, memberikan sensasi dingin dan menyegarkan seketika pada kulit dan kulit kepala. Dalam perawatan kulit, bahan ini berfungsi sebagai antiseptik dan antibakteri alami yang efektif untuk melawan bakteri penyebab jerawat, serta memiliki sifat astringen untuk membantu mengontrol produksi sebum berlebih dan mengecilkan tampilan pori-pori. Selain kemampuannya dalam menenangkan iritasi, kemerahan, dan gatal (pruritus), minyak ini juga membantu merangsang mikrosirkulasi darah untuk memberikan tampilan wajah yang lebih cerah dan sehat. Dalam perawatan rambut, Peppermint Oil populer digunakan untuk merangsang pertumbuhan rambut, mengurangi ketombe, dan menyegarkan kulit kepala yang bermasalah. Karena konsentrasinya yang kuat, bahan ini sering digunakan dalam dosis rendah atau diencerkan untuk menghindari risiko sensitivitas.",Normal
mentha-piperita-oil,Mentha Piperita Oil,Peppermint Oil,perfuming,"Mentha Piperita (Peppermint) Oil adalah minyak esensial yang diekstrak dari tanaman hibrida Mentha x piperita, yang dikenal karena aroma segar yang menyegarkan dan kandungan mentholnya yang tinggi. Dalam perawatan kulit dan rambut, bahan ini berfungsi sebagai agen penyegar, antimikroba, dan anti-inflamasi alami yang memberikan sensasi dingin seketika untuk menenangkan kemerahan serta rasa gatal. Karena sifat astringennya, minyak ini sangat efektif untuk membantu mengontrol produksi sebum berlebih pada kulit berminyak dan berjerawat, serta mengecilkan tampilan pori-pori. Selain manfaatnya bagi kulit, Peppermint Oil populer dalam perawatan rambut karena kemampuannya merangsang mikrosirkulasi di kulit kepala yang dapat mendukung pertumbuhan rambut yang sehat dan memberikan efek revitalisasi. Karena konsentrasinya yang kuat, bahan ini sering digunakan dalam formulasi yang seimbang untuk memberikan pengalaman sensorik yang energik sekaligus menjaga kesehatan barier kulit.",Normal
menthol,Menthol,,soothing,"Menthol adalah senyawa organik alami yang diperoleh dari minyak tanaman mint seperti peppermint atau diproduksi secara sintetis. Bahan ini sangat populer dalam produk perawatan kulit dan rambut karena memberikan sensasi dingin dan menyegarkan secara instan dengan merangsang reseptor peka dingin di kulit tanpa menurunkan suhu tubuh secara nyata. Selain efek penyegarnya, menthol memiliki sifat penenang (soothing), analgesik ringan, dan anti-iritasi yang efektif untuk meredakan rasa gatal serta kemerahan. Dalam perawatan rambut, menthol sering digunakan dalam sampo detoksifikasi untuk memberikan energi pada kulit kepala, sementara dalam produk bibir, bahan ini dapat memberikan efek plumping sementara dengan meningkatkan sirkulasi darah. Karena aromanya yang khas dan kemampuannya untuk mengurangi rasa sakit, menthol juga banyak ditemukan dalam balsem otot, krim cukur, dan produk perawatan setelah terpapar sinar matahari.",Normal
menthone-glycerin-acetal,Menthone Glycerin Acetal,,,"Menthone Glycerin Acetal, yang juga dikenal dengan nama dagang Frescolat MGA, adalah bahan sintetis yang berfungsi sebagai agen pendingin (cooling agent) dan penyegar dalam produk perawatan kulit serta kosmetik. Bahan ini merupakan turunan dari menton dan gliserin yang dirancang untuk memberikan sensasi dingin dan segar yang tahan lama tanpa aroma mentol yang menyengat atau efek iritasi yang sering menyertai penggunaan mentol murni. Karena sifatnya yang larut dalam minyak dan stabil pada rentang pH yang luas, bahan ini sangat populer digunakan dalam berbagai produk seperti lip plumper, lip gloss, pelembap wajah, hingga produk perawatan rambut untuk memberikan efek icing yang instan dan nyaman di kulit. Selain manfaat penyegarnya, Menthone Glycerin Acetal juga dapat berfungsi sebagai penambah aroma yang memberikan sentuhan mint lembut pada formula produk.",Normal
menthyl-lactate,Menthyl Lactate,,,"Menthyl Lactate adalah bahan aktif yang merupakan gabungan dari mentol dan asam laktat, yang berfungsi sebagai agen pendingin (cooling agent) dan pewangi dalam produk perawatan kulit. Bahan ini memberikan sensasi segar dan dingin yang menyenangkan serta tahan lama pada kulit, namun dengan potensi iritasi yang lebih rendah dibandingkan mentol murni. Selain efek menyegarkannya, Menthyl Lactate juga sering digunakan sebagai agen penyamar bau (masking agent) untuk menutupi aroma bahan baku lain yang kurang sedap dalam formula produk. Karena sifatnya yang lebih lembut, bahan ini populer digunakan dalam berbagai produk seperti pelembap, pembersih wajah, produk setelah paparan matahari (after-sun), hingga produk perawatan mulut seperti pasta gigi.",Normal
methicone,Methicone,,emollient,"Methicone adalah polimer berbasis silikon sintetis yang berfungsi sebagai emolien dan agen pengkondisi kulit untuk memberikan tekstur sutra yang halus pada produk kosmetik. Bahan ini bekerja dengan membentuk lapisan pelindung tipis (film-former) di atas permukaan kulit atau rambut yang membantu mengunci kelembapan, mencegah dehidrasi, serta melindungi dari faktor eksternal seperti polusi. Selain kemampuannya dalam menghaluskan tampilan garis halus dan memperbaiki penyebaran produk agar lebih merata, Methicone juga bersifat tahan air dan tidak meninggalkan rasa lengket, sehingga sering digunakan dalam produk riasan wajah, tabir surya, dan perawatan rambut untuk meningkatkan kilau serta kelembutan.",Normal
methoxycinnamidopropyl-hydroxysultaine,Methoxycinnamidopropyl Hydroxysultaine,Galaxy Sunbeat,sunscreen,"Methoxycinnamidopropyl Hydroxysultaine, yang dikenal dengan nama dagang Galaxy SunBeat, adalah agen penyerap UV larut air yang berfungsi utama sebagai filter UVB dalam produk perawatan kulit dan rambut. Karena sifatnya yang unik yaitu larut dalam air, bahan ini membantu menciptakan formula yang tidak berminyak, tidak lengket, dan memberikan sensasi halus yang elegan dibandingkan filter UV berbasis minyak pada umumnya. Selain melindungi kulit dari radiasi matahari, bahan ini juga digunakan dalam produk perawatan rambut untuk membantu menjaga warna rambut agar tidak mudah pudar akibat paparan sinar UV serta memberikan efek pengkondisian (hair conditioning) agar rambut lebih lembut dan mudah diatur.",Berminyak
methoxyphenylimino-dimethylcyclohexenyl-ethyl-glycinate,Methoxyphenylimino Dimethylcyclohexenyl Ethyl Glycinate,Sensisorb BIOMIM,,"Methoxyphenylimino Dimethylcyclohexenyl Ethyl Glycinate, yang dikenal dengan nama dagang Sensisorb BIOMIM, adalah bahan biomimetik inovatif yang meniru mekanisme pertahanan alami organisme laut untuk melindungi diri dari radiasi UV. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi sebagai penguat SPF (SPF booster) yang meningkatkan efektivitas filter tabir surya sekaligus memberikan perlindungan terhadap stabilitas warna dan aroma formula. Bahan ini bersifat biodegradable, bebas dari OMC dan BHT, serta membantu menjaga integritas produk dari degradasi akibat paparan cahaya dan panas.",Normal
methyl-diisopropyl-propionamide,Methyl Diisopropyl Propionamide,,,"Methyl Diisopropyl Propionamide, yang dikenal dengan nama dagang WS-23, adalah bahan penyegar sintetis yang memberikan efek dingin (cooling agent) yang kuat dan tahan lama pada kulit tanpa aroma mentol yang menyengat. Bahan ini bekerja dengan menstimulasi reseptor saraf di kulit untuk memberikan sensasi dingin yang menyegarkan, menjadikannya pilihan populer untuk produk perawatan wajah, pelembap setelah terpapar sinar matahari (after-sun), serta produk perawatan rambut dan mulut. Selain memberikan efek pendinginan, bahan ini juga berfungsi sebagai pelarut, penstabil emulsi, dan pengatur kekentalan yang membantu memperbaiki tekstur produk agar terasa halus dan tidak lengket. Karena sifatnya yang memiliki volatilitas rendah dan bau yang sangat ringan, Methyl Diisopropyl Propionamide sangat efektif digunakan dalam formulasi parfum dan kosmetik untuk meningkatkan pengalaman sensorik tanpa mengganggu profil aroma utama produk.",Normal
methyl-gluceth-10,Methyl Gluceth-10,,"moisturizer/humectant, emulsifying","Methyl Gluceth-10 adalah turunan glukosa alami yang berfungsi sebagai pelembap (humektan) dan emolien yang sangat lembut untuk kulit dan rambut. Bahan ini memiliki kemampuan luar biasa dalam mengikat air untuk menjaga hidrasi jangka panjang tanpa meninggalkan rasa lengket, serta memberikan hasil akhir yang halus dan sutra. Selain kemampuannya dalam meningkatkan penyebaran produk dan tekstur formula, Methyl Gluceth-10 efektif dalam mengurangi potensi iritasi dari surfaktan lain, sehingga sangat ideal untuk digunakan dalam produk pembersih, serum, dan losion bagi pemilik kulit sensitif atau kering.",Normal
methyl-gluceth-20,Methyl Gluceth-20,,moisturizer/humectant,"Methyl Gluceth-20 adalah bahan pelembap (humektan) yang sangat efektif dan lembut, yang diturunkan dari gula jagung alami. Bahan ini bekerja dengan cara menarik dan mengikat kelembapan pada kulit serta rambut, sehingga memberikan hidrasi yang tahan lama tanpa rasa lengket atau berminyak. Selain kemampuannya dalam menjaga kekenyalan kulit, Methyl Gluceth-20 berfungsi sebagai agen pengkondisi yang memberikan tekstur halus dan satin pada produk akhir, serta dapat membantu meningkatkan penyerapan bahan aktif lainnya. Karena sifatnya yang tidak menyebabkan iritasi, bahan ini sangat populer digunakan dalam formulasi untuk kulit sensitif, produk bayi, hingga perawatan rambut untuk memberikan kilau dan kelembutan.",Normal
methyl-glucose-sesquistearate,Methyl Glucose Sesquistearate,,"emollient, emulsifying","Methyl Glucose Sesquistearate adalah pengemulsi non-ionik dan pelembap (emolien) yang berasal dari campuran glukosa (gula jagung) dan asam stearat (minyak nabati). Bahan ini berfungsi utama untuk menyatukan fase minyak dan air dalam formula produk guna menciptakan emulsi yang stabil, halus, dan memiliki daya sebar yang baik. Selain kemampuannya dalam memperbaiki tekstur, bahan ini bersifat sangat lembut dan tidak menyebabkan iritasi, sehingga sering digunakan dalam produk perawatan bayi, area mata, dan kulit sensitif. Penggunaannya memberikan efek hidrasi yang tahan lama dengan hasil akhir yang ringan dan halus pada kulit.",Normal
methyl-methacrylate-crosspolymer,Methyl Methacrylate Crosspolymer,,absorbent/mattifier,"Methyl Methacrylate Crosspolymer adalah polimer sintetis berbentuk bubuk putih halus atau bola mikro berpori yang berfungsi utama sebagai agen penyerap minyak (absorbent) dan peningkat tekstur dalam kosmetik. Bahan ini sangat efektif dalam menyerap kelebihan sebum untuk memberikan hasil akhir matte yang tahan lama serta mencegah timbulnya jerawat dan komedo. Selain kemampuannya dalam mengontrol kilap wajah, bahan ini memberikan efek soft-focus yang membantu menyamarkan tampilan pori-pori dan garis halus, serta memberikan sensasi halus, ringan, dan mewah pada kulit. Karena sifatnya yang mampu meningkatkan viskositas dan stabilitas formula, bahan ini sering ditemukan dalam berbagai produk seperti primer, bedak, foundation, dan tabir surya.",Berminyak
methyl-methacrylate-peg-ppg-4-3-methacrylate-crosspolymer,Methyl Methacrylate/​PEG/​PPG-4/​3 Methacrylate Crosspolymer,,,"Methyl Methacrylate/PEG/PPG-4/3 Methacrylate Crosspolymer adalah polimer sintetis berbentuk partikel bulat mikro yang dirancang dengan sifat hidrofilik agar mudah terdispersi dalam formula berbahan dasar air. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi sebagai peningkat tekstur yang memberikan efek halus, pelumasan yang baik, serta kemampuan menyerap minyak. Selain itu, partikel ini memiliki sifat difusi cahaya yang menciptakan efek fokus lembut (soft-focus) untuk menyamarkan tampilan kerutan dan ketidaksempurnaan pada wajah.",Normal
methyl-trimethicone,Methyl Trimethicone,,solvent,"Methyl Trimethicone adalah jenis silikon cair yang sangat ringan dan mudah menguap, berfungsi sebagai pelarut dan agen pengkondisi kulit dalam berbagai produk kosmetik. Karena sifatnya yang cepat menguap tanpa meninggalkan residu berminyak, bahan ini sering digunakan dalam produk riasan seperti foundation dan maskara untuk membantu penyebaran pigmen yang merata dan memberikan hasil akhir yang halus serta kering di wajah. Selain meningkatkan tekstur produk agar lebih mudah dioleskan, Methyl Trimethicone juga bekerja dengan membentuk lapisan pelindung tipis untuk menjaga kelembapan kulit dan rambut tanpa memberikan rasa lengket atau berat, menjadikannya pilihan ideal untuk produk perawatan kulit dan rambut yang membutuhkan sensasi ringan dan segar.",Normal
methylchloroisothiazolinone,Methylchloroisothiazolinone,,preservative,"Methylchloroisothiazolinone (MCI) adalah bahan pengawet sintetis yang sangat efektif untuk menghambat pertumbuhan bakteri, jamur, dan ragi dalam produk kosmetik serta perawatan pribadi berbahan dasar air. Bahan ini sering digunakan dalam kombinasi dengan Methylisothiazolinone (MI) untuk memberikan perlindungan spektrum luas guna menjaga kualitas dan keamanan produk selama penyimpanan. Meskipun efektif, MCI dikenal sebagai alergen potensial yang dapat menyebabkan iritasi kulit atau dermatitis kontak pada individu yang sensitif, sehingga penggunaannya kini dibatasi secara ketat dan lebih umum ditemukan dalam produk bilas (rinse-off) seperti sampo dan sabun cair dengan konsentrasi yang sangat rendah.",Normal
methylene-bis-benzotriazolyl-tetramethylbutylphenol,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,"Tinosorb M, Bisoctrizole",sunscreen,"Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, yang dikenal dengan nama dagang Tinosorb M, adalah agen tabir surya ""hibrida"" generasi terbaru yang menggabungkan mekanisme filter organik (kimia) dan anorganik (fisik). Bahan ini bekerja dengan cara menyerap radiasi UV sekaligus memantulkan dan menyebarkan cahaya seperti pelindung fisik. Memberikan perlindungan spektrum luas yang sangat stabil terhadap sinar UVA dan UVB, bahan ini juga membantu menstabilkan filter UV lainnya dalam formula. Karena strukturnya yang berupa partikel mikro yang tidak larut dalam air maupun minyak, bahan ini cenderung berada di permukaan kulit tanpa terserap ke dalam, sehingga memiliki profil keamanan yang sangat baik dan jarang menimbulkan iritasi.",Normal
methylglucoside-phosphate,Methylglucoside Phosphate,,cell-communicating ingredient,"Methylglucoside Phosphate adalah bahan aktif anti-penuaan inovatif yang berfungsi sebagai sumber energi pra-aktivasi untuk menyegarkan kembali sel-sel kulit yang menua (fibroblas). Sering ditemukan dalam kompleks bahan bernama Neodermyl, bahan ini bekerja dengan cara merangsang produksi alami kolagen tipe I, kolagen tipe III, dan elastin yang cenderung menurun seiring bertambahnya usia. Kemampuannya dalam meningkatkan kepadatan dan elastisitas kulit telah terbukti secara klinis dapat membantu mengurangi kedalaman serta volume kerutan dalam waktu singkat. Selain manfaat pengencangan, bahan ini juga berperan sebagai agen pengkondisi kulit (skin conditioning) yang membantu menjaga kelembapan dan tekstur kulit agar tetap halus dan kenyal.",Normal
methylheptyl-laurate,Methylheptyl Laurate,Nikkol GS‐MHL,emollient,"Methylheptyl Laurate, yang juga dikenal dengan nama dagang Nikkol GS-MHL, adalah ester minyak nabati yang sangat ringan dan berasal dari kelapa. Berfungsi utama sebagai emolien, bahan ini memberikan daya sebar yang sangat baik (excellent slip) dan tekstur halus pada kulit tanpa rasa lengket atau berminyak. Karena sifatnya yang 100% alami dan non-oily, Methylheptyl Laurate sering digunakan sebagai alternatif silikon ringan dalam berbagai produk kosmetik seperti pembersih wajah, tabir surya, dan pelembap untuk memberikan hasil akhir yang nyaman dan lembut.",Normal
methylisothiazolinone,Methylisothiazolinone,,preservative,"Methylisothiazolinone (MIT) adalah bahan pengawet sintetis dan biosida yang sangat efektif dalam menghambat pertumbuhan bakteri, jamur, dan ragi untuk memperpanjang masa simpan produk kosmetik serta perawatan diri. Meskipun sangat efisien dalam konsentrasi rendah, bahan ini sering menjadi perhatian karena potensinya sebagai alergen kuat yang dapat memicu dermatitis kontak dan sensitisasi kulit, terutama pada produk yang tidak dibilas (leave-on). Oleh karena itu, penggunaannya kini mulai dibatasi atau dilarang di berbagai negara untuk produk seperti losion dan krim wajah, namun tetap umum ditemukan dalam produk bilas (rinse-off) seperti sampo, sabun cair, dan pembersih wajah dengan batas konsentrasi yang ketat. Selain di industri kecantikan, bahan multifungsi ini juga digunakan secara luas dalam produk rumah tangga dan industri, termasuk cat, perekat, dan deterjen, untuk menjaga stabilitas formula dari kontaminasi mikroba.",Normal
methylparaben,Methylparaben,,preservative,"Methylparaben adalah bahan pengawet dari golongan paraben yang berfungsi utama sebagai agen antimikroba untuk mencegah pertumbuhan bakteri dan jamur dalam produk kosmetik, skincare, hingga makanan. Dengan menghambat aktivitas mikroorganisme, bahan ini membantu menjaga kualitas bahan aktif seperti vitamin dan antioksidan, serta memperpanjang masa simpan produk agar tetap aman digunakan. Methylparaben umumnya berbentuk serbuk hablur putih dan dianggap aman oleh BPOM serta FDA selama digunakan dalam batas konsentrasi yang ditentukan, yaitu maksimal 0,4% untuk penggunaan tunggal. Meskipun efektif dan stabil pada rentang pH 3-6, bahan ini dapat memicu reaksi alergi atau dermatitis kontak pada pemilik kulit sensitif, sehingga sering disarankan untuk melakukan uji tempel sebelum penggunaan luas.",Normal
methylpropanediol,Methylpropanediol,,solvent,"Methylpropanediol adalah bahan sintetis multifungsi yang sering digunakan sebagai pelarut untuk membantu melarutkan bahan-bahan lain dalam formula agar tersebar merata. Selain sebagai pelarut, bahan ini berfungsi sebagai humektan yang menarik kelembapan ke dalam kulit, memberikan hidrasi, dan meninggalkan hasil akhir yang halus serta bercahaya tanpa rasa lengket. Keunggulan utamanya adalah kemampuannya sebagai peningkat penetrasi yang membantu bahan aktif lain, seperti asam salisilat, meresap lebih dalam ke lapisan kulit untuk efektivitas yang lebih maksimal. Bahan ini juga bertindak sebagai penguat sistem pengawet (preservative booster) dan pengatur viskositas, serta umumnya dianggap aman dan tidak menyebabkan iritasi bahkan untuk kulit sensitif.",Normal
mica,Mica,CI 77019,colorant,"Mica, yang juga dikenal dengan kode warna CI 77019, adalah mineral silikat alami yang sangat populer dalam produk kosmetik dan perawatan kulit karena kemampuannya memberikan efek kilau (shimmer) dan cahaya (glow). Bahan ini bekerja dengan cara memantulkan dan membiaskan cahaya untuk menciptakan tampilan wajah yang lebih cerah, memberikan efek soft-focus untuk menyamarkan garis halus, serta meningkatkan tekstur produk agar lebih mudah dibaurkan. Selain fungsinya sebagai pewarna dan penambah estetika, mica bersifat inert secara kimia, non-komedogenik, dan aman untuk semua jenis kulit, termasuk kulit sensitif. Dalam formulasi, mineral ini sering ditemukan dalam highlighter, eyeshadow, bedak, hingga pelembap untuk memberikan hasil akhir yang bercahaya dan mewah.",Normal
microcitrus-australasica-fruit-extract,Microcitrus Australasica Fruit Extract,Caviar Lime Fruit Extract,exfoliant,"Microcitrus Australasica Fruit Extract, yang lebih dikenal sebagai ekstrak Caviar Lime atau Finger Lime, adalah bahan alami asal Australia yang dikenal sebagai generasi baru Alpha Hydroxy Acids (AHA). Berfungsi utama sebagai eksfolian alami, ekstrak ini membantu mengangkat sel kulit mati dengan lembut untuk mengungkapkan tekstur kulit yang lebih halus, cerah, dan merata tanpa menyebabkan iritasi seperti asam kimia tradisional. Selain kandungan asam sitratnya, bahan ini sangat kaya akan vitamin C dan antioksidan yang membantu melindungi kulit dari kerusakan radikal bebas, meningkatkan produksi kolagen, serta menjaga hidrasi kulit. Karena sifatnya yang mampu meningkatkan pembaruan sel secara lembut, bahan ini sering digunakan dalam produk pencerah dan anti-penuaan untuk memberikan efek kilau alami pada wajah.",Normal
microcrystalline-cellulose,Microcrystalline Cellulose,,"viscosity controlling, absorbent/mattifier, emulsion stabilising","Microcrystalline Cellulose adalah bahan alami berupa bubuk putih halus yang berasal dari serat tumbuhan atau pulp kayu yang telah dimurnikan. Dalam produk kosmetik dan perawatan kulit, bahan ini bersifat multifungsi sebagai agen penyerap (absorbent) untuk memberikan efek matte, pengatur kekentalan (viscosity controlling), serta penstabil emulsi yang membantu menjaga konsistensi formula. Selain itu, bahan ini juga populer digunakan sebagai eksfolian fisik yang lembut untuk mengangkat sel kulit mati tanpa menyebabkan iritasi.",Normal
