Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Hydrogenated Jojoba Oil,"Normal, Berminyak, Kering, Kombinasi",Emollient stabil yang membantu menjaga kelembapan kulit dan memperkuat skin barrier tanpa mudah teroksidasi.,-,-,"Kusam, Kemerahan","Membantu melembapkan kulit, mengurangi kehilangan air (TEWL), dan mendukung pemulihan skin barrier.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Sodium Metabisulfite,-,-,"Normal, Berminyak, Kering, Kombinasi",Antioksidan/preservative yang diketahui dapat memicu reaksi hipersensitivitas atau iritasi pada sebagian individu yang sensitif terhadap sulfite.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan iritasi atau memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Antioksidan/preservative dengan potensi alergi sulfit yang terdokumentasi; risiko generalis, bukan spesifik jenis kulit."
Zinc Gluconate,"Normal, Berminyak, Kombinasi",Membantu mengontrol produksi sebum dan memiliki aktivitas anti-inflamasi sehingga cocok untuk kulit berminyak maupun kombinasi.,-,-,"Berjerawat, Kemerahan","Membantu mengurangi produksi sebum, menenangkan inflamasi, dan mendukung perbaikan kulit berjerawat.",-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Salvia Officinalis (Sage) Leaf Extract,"Normal, Berminyak, Kombinasi",Kaya antioksidan dan memiliki sifat antimikroba sehingga sesuai untuk kulit normal hingga berminyak.,Kering,Kandungan astringent alami dapat membuat kulit kering terasa lebih kering pada sebagian individu.,"Berjerawat, Kusam","Memiliki aktivitas antioksidan, antimikroba, dan membantu mengontrol minyak sehingga mendukung perawatan kulit berjerawat dan kulit kusam.",Kemerahan,Pada sebagian kulit sensitif dapat menimbulkan iritasi ringan karena kandungan minyak atsiri alami.,Berjerawat: Supportive; Kusam: Supportive,Kemerahan: Moderate,,Ekstrak herbal astringent; evidence spesifik untuk efek kering pada kulit kering masih terbatas.
Cupressus Sempervirens Fruit Extract,"Normal, Berminyak, Kombinasi",Mengandung senyawa antioksidan dan astringent alami yang membantu mengontrol minyak.,Kering,Efek astringent dapat meningkatkan rasa kering pada kulit yang sudah kekurangan minyak alami.,"Berjerawat, Kusam",Membantu mengurangi minyak berlebih serta memberikan perlindungan antioksidan.,Kemerahan,Kandungan minyak atsiri dapat memperburuk iritasi pada kulit sensitif.,Berjerawat: Supportive; Kusam: Supportive,Kemerahan: Moderate,,Ekstrak astringent; evidence spesifik terbatas.
Propanediol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit dengan toleransi yang baik.,-,-,Kusam,Membantu meningkatkan hidrasi kulit sehingga kulit terasa lebih lembut dan tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Potassium Cocoyl Glycinate,"Normal, Berminyak, Kering, Kombinasi",Surfactant berbasis asam amino yang sangat lembut dan membantu menjaga skin barrier selama proses pembersihan.,-,-,-,-,-,-,-,-,,
Potassium Cocoate,Berminyak,Soap-based surfactant yang efektif mengangkat minyak dan kotoran.,"Kering, Kombinasi",Bersifat alkalis sehingga dapat meningkatkan TEWL dan menyebabkan kulit terasa lebih kering.,-,-,Kemerahan,Dapat memperburuk iritasi pada kulit dengan skin barrier yang terganggu.,-,Kemerahan: Low,Kering: Moderate; Kombinasi: Low,Garam sabun kalium dari asam lemak kelapa; mekanisme sama seperti Sodium Cocoate.
Sodium Lauroamphoacetate,"Normal, Berminyak, Kering, Kombinasi",Surfactant amfoter yang sangat lembut dan memiliki risiko iritasi rendah.,-,-,-,-,-,-,-,-,,
Sodium Polyaspartate,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kelembapan kulit dengan membentuk lapisan hidrasi pada permukaan kulit.,-,-,Kusam,Membantu meningkatkan hidrasi kulit sehingga kulit terasa lebih halus dan tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Methyl Diisopropyl Propionamide,-,-,"Normal, Berminyak, Kering, Kombinasi",Cooling agent sintetis yang dapat menyebabkan sensasi menyengat atau iritasi pada sebagian individu.,-,-,Kemerahan,Dapat memperburuk rasa tidak nyaman pada kulit yang sedang mengalami inflamasi.,-,Kemerahan: Moderate,,"Cooling agent sintetis dengan laporan sensitisasi; risiko generalis alergi, bukan spesifik jenis kulit."
Ethyl Menthane Carboxamide,-,-,"Normal, Berminyak, Kering, Kombinasi",Cooling agent yang memberikan sensasi dingin dan berpotensi mengiritasi kulit sensitif.,-,-,Kemerahan,Dapat meningkatkan sensasi perih atau iritasi pada kulit yang mengalami inflamasi.,-,Kemerahan: Moderate,,"Cooling agent (WS-23) dengan potensi sensitisasi; risiko generalis, bukan spesifik jenis kulit."
Isopropyl Palmitate,"Normal, Kering",Emollient yang membantu melembapkan dan melembutkan kulit.,Berminyak,Bersifat cukup oklusif dan memiliki potensi komedogenik pada sebagian individu.,Kusam,Membantu memperbaiki kelembapan dan tekstur permukaan kulit.,Berjerawat,Memiliki potensi meningkatkan penyumbatan pori pada kulit acne-prone.,Kusam: Supportive,Berjerawat: Low,Berminyak: High,Salah satu ester paling konsisten terdokumentasi komedogenik pada studi comedogenicity klasik (rabbit ear assay era Kligman); sering dicantumkan dalam panduan skincare acne-prone sebagai ingredient yang dihindari.
Trehalose,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kadar air dan melindungi kulit dari dehidrasi.,-,-,Kusam,Membantu meningkatkan hidrasi kulit dan melindungi dari stres oksidatif.,-,-,Kusam: Supportive,-,,
Algin,"Normal, Berminyak, Kering, Kombinasi",Polisakarida alami yang membentuk lapisan pelindung dan membantu mempertahankan kelembapan kulit.,-,-,Kusam,Membantu menjaga hidrasi dan kenyamanan kulit.,-,-,Kusam: Supportive,-,,
Hydrogenated Starch Hydrolysate,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menarik dan mempertahankan kelembapan kulit sehingga mendukung hidrasi.,-,-,Kusam,Membantu meningkatkan hidrasi kulit sehingga kulit terasa lebih halus dan tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Erythritol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kadar air pada kulit dan mendukung fungsi skin barrier.,-,-,"Kusam, Kemerahan","Humectant yang membantu hidrasi kulit, mendukung tampilan kulit lebih cerah (Kusam) dan menjaga kenyamanan kulit sensitif (Kemerahan).",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Betaine,"Normal, Berminyak, Kering, Kombinasi",Osmoprotectant dan humectant yang membantu menjaga keseimbangan air serta mengurangi iritasi pada kulit.,-,-,Kemerahan,"Membantu memperkuat skin barrier, meningkatkan hidrasi, dan memiliki efek soothing ringan.",-,-,Kemerahan: Supportive,-,,
Glycosyl Trehalose,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kelembapan kulit dan meningkatkan kenyamanan kulit.,-,-,Kusam,Membantu meningkatkan hidrasi dan menjaga kelembapan kulit.,-,-,Kusam: Supportive,-,,
Dipropylene Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit dengan profil iritasi rendah.,-,-,Kusam,Membantu menjaga hidrasi kulit sehingga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Quaternium-73,"Normal, Berminyak, Kombinasi",Memiliki aktivitas antimikroba yang banyak dimanfaatkan dalam formulasi untuk kulit berminyak dan acne-prone.,-,-,Berjerawat,Membantu menghambat pertumbuhan bakteri seperti Cutibacterium acnes sehingga mendukung perawatan kulit berjerawat.,Kemerahan,"Pada sebagian individu dapat menyebabkan iritasi ringan, terutama pada kulit yang sensitif atau skin barrier terganggu.",Berjerawat: Supportive,Kemerahan: Low,,
Lactobionic Acid,"Normal, Kering, Kombinasi",Polyhydroxy Acid (PHA) yang bersifat humectant dan lebih lembut dibanding AHA sehingga cocok untuk kulit sensitif maupun kering.,-,-,"PIH, Kusam, Kemerahan","Membantu eksfoliasi ringan, meningkatkan hidrasi, memberikan efek antioksidan, dan mendukung perbaikan skin barrier dengan risiko iritasi yang lebih rendah dibanding AHA.",-,-,PIH: Supportive; Kusam: Supportive; Kemerahan: Supportive,-,,
Potassium Lauroyl Glutamate,"Normal, Berminyak, Kering, Kombinasi",Surfactant berbasis asam amino yang lembut sehingga mampu membersihkan kulit tanpa banyak mengganggu skin barrier.,-,-,-,-,-,-,-,-,,
Zinc Chloride,"Berminyak, Kombinasi",Memiliki sifat astringent yang membantu mengurangi minyak berlebih pada kulit.,Kering,Dapat meningkatkan rasa kering pada kulit yang sudah kekurangan minyak alami.,Berjerawat,Membantu mengontrol sebum dan mendukung lingkungan kulit yang kurang mendukung pertumbuhan Cutibacterium acnes.,Kemerahan,Sifat astringent dapat memperburuk iritasi pada kulit sensitif atau yang sedang meradang.,Berjerawat: Supportive,Kemerahan: Low,Kering: Moderate,Garam logam astringent yang digunakan pada formulasi astringent/antiperspirant; efek pengencangan/pengeringan terdokumentasi.
Saxifraga Sarmentosa Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak tumbuhan yang kaya antioksidan dan umum digunakan sebagai skin conditioning agent.,-,-,"PIH, Kusam",Membantu menghambat pembentukan melanin sehingga mendukung efek brightening serta membantu mengurangi hiperpigmentasi.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Magnesium Ascorbyl Phosphate,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang stabil dan lebih lembut dibanding Ascorbic Acid sehingga umumnya cocok untuk semua jenis kulit.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, meningkatkan sintesis kolagen, serta memberikan perlindungan antioksidan.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Dipotassium Glycyrrhizate,"Normal, Berminyak, Kering, Kombinasi",Turunan licorice yang memiliki efek anti-inflamasi dan soothing dengan toleransi kulit yang baik.,-,-,"Berjerawat, PIE, Kemerahan","Membantu mengurangi inflamasi, menenangkan kulit, dan mendukung pemulihan kulit yang mengalami iritasi.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Stearyl Glycyrrhetinate,"Normal, Berminyak, Kering, Kombinasi",Turunan asam glycyrrhetinic yang membantu menenangkan kulit dan memperkuat skin barrier.,-,-,"Berjerawat, PIE, Kemerahan",Memiliki aktivitas anti-inflamasi sehingga membantu mengurangi kemerahan dan iritasi kulit.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Citrus Limon (Lemon) Fruit Water,"Normal, Berminyak, Kombinasi",Mengandung komponen antioksidan dan memberikan efek menyegarkan dengan konsentrasi yang umumnya lebih ringan dibanding ekstraknya.,Kering,Dapat meningkatkan sensitivitas atau rasa kering pada kulit yang skin barrier-nya lemah.,"PIH, Kusam",Membantu memberikan efek brightening ringan dan melindungi kulit dari radikal bebas.,Kemerahan,Kandungan sitrus berpotensi menyebabkan iritasi pada kulit sensitif.,PIH: Supportive; Kusam: Supportive,Kemerahan: Low,Kering: Low,Hidrosol lemon yang diencerkan; potensi astringent jauh lebih rendah dari minyak esensialnya.
Citrus Limon Peel Oil,-,-,"Normal, Berminyak, Kering, Kombinasi",Essential oil sitrus yang mengandung limonene dan komponen volatil lain sehingga berpotensi menyebabkan sensitisasi.,-,-,"Kemerahan, PIE, PIH","Dapat memicu iritasi dan memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,
Artemisia Capillaris Leaf Water,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa antioksidan dan anti-inflamasi yang umumnya cocok untuk berbagai jenis kulit.,-,-,"Berjerawat, Kemerahan",Membantu menenangkan kulit dan mengurangi inflamasi ringan.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Melaleuca Alternifolia (Tea Tree) Leaf Water,"Normal, Berminyak, Kombinasi",Mengandung komponen tea tree dalam konsentrasi ringan sehingga membantu mengontrol minyak dan menjaga kebersihan kulit.,Kering,Dapat menyebabkan rasa kering pada sebagian kulit yang sudah kering.,Berjerawat,Memiliki aktivitas antimikroba dan anti-inflamasi yang membantu kulit berjerawat.,Kemerahan,Pada kulit sensitif tetap berpotensi menimbulkan iritasi ringan.,Berjerawat: Supportive,Kemerahan: Low,Kering: Low,Hidrosol tea tree yang diencerkan; iritasi jauh lebih rendah dibanding minyak esensialnya.
DMDM Hydantoin,-,-,"Normal, Berminyak, Kering, Kombinasi",Pengawet pelepas formaldehida (formaldehyde-releasing preservative) yang memiliki potensi menyebabkan dermatitis kontak pada individu sensitif.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan iritasi atau reaksi alergi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Formaldehyde-releasing preservative dengan riwayat sensitisasi kontak yang terdokumentasi baik; risikonya alergi, bukan spesifik jenis kulit."
Lactose,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit.,-,-,Kusam,Membantu menjaga hidrasi sehingga kulit terasa lebih lembut.,-,-,Kusam: Supportive,-,,
Bifida Ferment Lysate,"Normal, Berminyak, Kering, Kombinasi",Ferment lysate yang membantu memperkuat skin barrier dan meningkatkan ketahanan kulit terhadap stres lingkungan.,-,-,"Berjerawat, PIE, Kemerahan","Membantu memperbaiki skin barrier, mengurangi inflamasi, dan mendukung proses regenerasi kulit.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Disodium Laureth Sulfosuccinate,"Normal, Berminyak, Kering, Kombinasi",Surfactant anionik yang jauh lebih lembut dibanding Sodium Laureth Sulfate (SLES) dan membantu membersihkan kulit tanpa banyak mengganggu skin barrier.,-,-,-,-,-,-,-,-,,
Hamamelis Virginiana (Witch Hazel) Leaf Extract,"Berminyak, Kombinasi",Memiliki sifat astringent yang membantu mengurangi minyak berlebih dan mengecilkan tampilan pori.,Kering,Sifat astringent dapat meningkatkan rasa kering pada kulit yang kekurangan minyak alami.,Berjerawat,Membantu mengontrol sebum dan memiliki aktivitas anti-inflamasi ringan yang mendukung kulit berjerawat.,Kemerahan,Kandungan tannin dan komponen volatil dapat memperburuk iritasi pada kulit sensitif.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Moderate,Kaya tanin dengan efek astringent yang terdokumentasi secara tradisional dan ilmiah; dapat mengeringkan terutama pada formulasi berbasis alkohol.
Chlorphenesin,-,-,-,-,-,-,Kemerahan,Pengawet yang pada sebagian individu dapat menyebabkan iritasi atau dermatitis kontak ringan.,-,Kemerahan: Low,,
Rheum Palmatum Root Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa polifenol dan antioksidan yang membantu menjaga kesehatan kulit.,-,-,"Berjerawat, Kusam",Memiliki aktivitas antioksidan dan anti-inflamasi yang membantu melindungi kulit serta mendukung pemulihan kulit.,-,-,Berjerawat: Supportive; Kusam: Supportive,-,,
Portulaca Oleracea Extract,"Normal, Berminyak, Kering, Kombinasi","Kaya flavonoid, vitamin, dan polisakarida yang membantu menenangkan serta menjaga kelembapan kulit.",-,-,"Berjerawat, PIE, Kemerahan",Memiliki efek anti-inflamasi dan antioksidan yang membantu menenangkan kulit serta mendukung pemulihan skin barrier.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Melaleuca Alternifolia (Tea Tree) Leaf Oil,"Normal, Berminyak, Kombinasi",Essential oil yang memiliki aktivitas antimikroba dan membantu mengontrol minyak pada kulit.,Kering,Dapat menyebabkan kulit terasa lebih kering serta meningkatkan risiko iritasi pada kulit dengan skin barrier yang lemah.,Berjerawat,Mengandung terpinen-4-ol yang memiliki aktivitas antimikroba terhadap *Cutibacterium acnes* dan membantu mengurangi inflamasi jerawat.,"Kemerahan, PIE, PIH","Sebagai essential oil, berpotensi menimbulkan sensitisasi atau iritasi pada kulit sensitif maupun kulit yang sedang mengalami inflamasi. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",Berjerawat: Supportive,Kemerahan: Moderate; PIE: Low; PIH: Low,Kering: Moderate,Minyak esensial dengan potensi iritan/mengeringkan pada konsentrasi lebih tinggi/tidak diencerkan; terdokumentasi dalam literatur dermatitis kontak.
Centella Asiatica Leaf Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung senyawa aktif seperti asiaticoside dan madecassoside yang membantu menenangkan serta memperbaiki skin barrier.,-,-,"Berjerawat, PIE, Kemerahan","Memiliki aktivitas anti-inflamasi, mendukung penyembuhan kulit, dan membantu memperbaiki skin barrier.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Primary,-,,
Terpineol,"Normal, Berminyak, Kombinasi",Monoterpene alami dengan aktivitas antimikroba dan antioksidan ringan yang sering digunakan pada produk untuk kulit berminyak.,Kering,Dapat meningkatkan risiko iritasi atau rasa kering pada kulit dengan skin barrier yang lemah.,Berjerawat,Memiliki aktivitas antimikroba yang membantu menghambat pertumbuhan *Cutibacterium acnes* serta mendukung pengurangan inflamasi ringan.,Kemerahan,"Sebagai komponen minyak atsiri, dapat memicu sensitisasi atau iritasi pada kulit sensitif.",Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,Komponen terpene fragrance dengan potensi iritan ringan; evidence spesifik untuk efek kering terbatas.
Thymol,"Normal, Berminyak, Kombinasi",Senyawa fenolik alami dengan aktivitas antimikroba yang membantu menjaga kebersihan kulit.,Kering,Berpotensi menyebabkan kulit terasa lebih kering atau iritasi pada penggunaan berlebihan.,Berjerawat,Memiliki aktivitas antibakteri dan antijamur yang mendukung perawatan kulit berjerawat.,Kemerahan,Pada kulit sensitif dapat menyebabkan sensasi perih atau iritasi karena sifat antiseptiknya.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,"Fenol antimikroba dari thyme; potensi iritan pada konsentrasi tinggi, evidence spesifik untuk efek kering terbatas."
Cocamide DEA,Berminyak,Foam booster dan surfactant yang membantu mengangkat minyak serta meningkatkan efektivitas pembersihan.,Kering,Dapat meningkatkan kekeringan kulit karena membantu menghilangkan minyak alami kulit.,-,-,Kemerahan,"Pada sebagian individu dapat menyebabkan iritasi ringan, terutama pada kulit sensitif atau skin barrier yang terganggu.",-,Kemerahan: Moderate,Kering: Low,"Foam booster mirip Cocamide MEA; evidence langsung untuk efek kering terbatas (catatan: ada isu regulasi terpisah terkait nitrosamin, tidak terkait kekeringan)."
Arbutin,"Normal, Berminyak, Kering, Kombinasi",Brightening agent yang umumnya memiliki toleransi baik pada berbagai jenis kulit.,-,-,"PIH, Kusam",Menghambat aktivitas enzim tirosinase sehingga membantu mengurangi hiperpigmentasi dan mencerahkan kulit.,-,-,PIH: Primary; Kusam: Supportive,-,,
Sodium PCA,"Normal, Berminyak, Kering, Kombinasi",Humectant yang merupakan bagian dari Natural Moisturizing Factor (NMF) sehingga membantu mempertahankan kelembapan kulit.,-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memperkuat skin barrier, dan mengurangi kekeringan kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
PEG-7 Olive Glycerides,"Normal, Berminyak, Kering, Kombinasi","Emollient yang berasal dari minyak zaitun dan gliserin, membantu menjaga kelembapan kulit dengan tekstur lebih ringan dibanding minyak zaitun murni.",-,-,Kusam,"Membantu menjaga hidrasi kulit, memperbaiki kelembutan, dan mendukung fungsi skin barrier.",-,-,Kusam: Supportive,-,,
Actinidia Polygama Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak buah yang mengandung antioksidan dan senyawa bioaktif untuk membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan menjaga tampilan kulit tetap sehat melalui aktivitas antioksidan.,-,-,Kusam: Supportive,-,,
Pachyrhizus Erosus Root Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan membantu menjaga kelembapan serta kesehatan kulit.,-,-,"PIH, Kusam",Membantu mencerahkan kulit melalui aktivitas antioksidan dan mendukung pengurangan hiperpigmentasi ringan.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Ethylhexyl Methoxycinnamate,-,-,-,-,-,-,Kemerahan,"UV filter yang pada sebagian individu dapat menyebabkan iritasi atau dermatitis kontak, terutama pada kulit sensitif.",-,Kemerahan: Moderate,,
Hydroxylated Lecithin,"Normal, Berminyak, Kering, Kombinasi",Emollient yang membantu memperkuat skin barrier dan mempertahankan kelembapan kulit.,-,-,Kemerahan,Membantu memperbaiki skin barrier dan menjaga hidrasi kulit.,-,-,Kemerahan: Supportive,-,,
Glycine Soja (Soybean) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya isoflavon dan antioksidan sehingga cocok untuk berbagai jenis kulit.,-,-,"PIH, Kusam","Membantu mencerahkan kulit, meningkatkan elastisitas, dan melindungi kulit dari radikal bebas.",-,-,PIH: Supportive; Kusam: Supportive,-,,
Rosa Canina Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan yang membantu menjaga kesehatan kulit.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan menjaga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Glass Beads,-,-,Kering,Eksfoliator fisik yang dapat meningkatkan gesekan pada kulit.,Kusam,Membantu mengangkat sel kulit mati sehingga kulit tampak lebih cerah.,"Berjerawat, Kemerahan",Gesekan mekanis dapat memperburuk inflamasi pada jerawat aktif maupun kulit sensitif.,Kusam: Supportive,Berjerawat: Low; Kemerahan: Moderate,Kering: Low,"Mikrobead eksfolian fisik; potensi micro-abrasion teoritis, bergantung ukuran partikel dan frekuensi pemakaian."
Glycolipids,"Normal, Berminyak, Kering, Kombinasi",Lipid alami yang membantu menjaga kelembapan dan mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu memperkuat skin barrier dan mengurangi kehilangan air (TEWL).,-,-,Kemerahan: Supportive,-,,
Xylitylglucoside,"Normal, Berminyak, Kering, Kombinasi",Humectant yang meningkatkan hidrasi kulit dan memperkuat Natural Moisturizing Factor (NMF).,-,-,"Kusam, Kemerahan",Membantu meningkatkan kelembapan kulit dan memperbaiki fungsi skin barrier.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Anhydroxylitol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang bekerja bersama xylitol untuk mempertahankan hidrasi kulit.,-,-,"Kusam, Kemerahan",Membantu mempertahankan kadar air kulit dan meningkatkan fungsi skin barrier.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Xylitol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menjaga hidrasi dan keseimbangan kelembapan kulit.,-,-,"Kusam, Kemerahan",Membantu meningkatkan hidrasi kulit serta mendukung skin barrier.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Sodium Laurylglucosides Hydroxypropylsulfonate,"Normal, Berminyak, Kering, Kombinasi",Surfactant lembut berbasis glukosida yang memiliki toleransi tinggi terhadap berbagai jenis kulit.,-,-,-,-,-,-,-,-,,
DNA,"Normal, Berminyak, Kering, Kombinasi",Berfungsi sebagai skin conditioning agent yang membantu menjaga hidrasi dan mendukung perlindungan kulit dari stres oksidatif.,-,-,-,-,-,-,-,-,,
Sodium Bisulfite,-,-,"Normal, Berminyak, Kering, Kombinasi",Antioksidan/preservative yang dapat memicu iritasi atau reaksi hipersensitivitas pada sebagian individu.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan iritasi atau memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Antioksidan/preservative dengan potensi alergi sulfit; risiko generalis, bukan spesifik jenis kulit."
Hydrolyzed Tremella Fuciformis Sporocarp Extract,"Normal, Berminyak, Kering, Kombinasi",Polisakarida dari jamur Tremella yang memiliki kemampuan mengikat air tinggi sehingga membantu menjaga hidrasi dan memperkuat skin barrier.,-,-,"Kusam, Kemerahan","Membantu meningkatkan hidrasi, memperbaiki skin barrier, serta memberikan efek menenangkan dan antioksidan pada kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Caprylic/Capric Triglyceride,"Normal, Berminyak, Kering, Kombinasi",Emollient ringan yang membantu melembapkan kulit dan memperkuat skin barrier tanpa terasa berat pada sebagian besar jenis kulit.,-,-,Kusam,"Membantu mengurangi kehilangan air (TEWL), menjaga kelembapan, dan membuat kulit terasa lebih halus.",-,-,Kusam: Supportive,-,,
Citrus Medica Limonum (Lemon) Fruit Oil,-,-,"Normal, Berminyak, Kering, Kombinasi",Essential oil sitrus yang mengandung limonene dan komponen volatil lain sehingga berpotensi menyebabkan iritasi atau sensitisasi.,-,-,"Kemerahan, PIE, PIH","Dapat memicu iritasi dan memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial sitrus dengan furocoumarin fototoksik dan potensi alergen; risiko generalis, bukan spesifik jenis kulit."
Citrus Tangerina Peel Oil,-,-,"Normal, Berminyak, Kering, Kombinasi",Essential oil dari kulit jeruk tangerine yang mengandung senyawa aromatik dengan potensi sensitisasi.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan iritasi atau dermatitis kontak pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial sitrus, potensi fototoksik/alergen; risiko generalis."
Citrus Aurantium Dulcis (Orange) Peel Oil,-,-,"Normal, Berminyak, Kering, Kombinasi",Essential oil dari kulit jeruk manis yang mengandung limonene dan komponen volatil lain yang dapat mengiritasi kulit sensitif.,-,-,"Kemerahan, PIE, PIH","Berpotensi memicu sensitisasi atau memperburuk kemerahan pada kulit yang sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial sitrus, potensi fototoksik/alergen; risiko generalis."
3-O-Ethyl Ascorbic Acid,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang stabil dan memiliki toleransi kulit yang baik pada berbagai jenis kulit.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, meningkatkan sintesis kolagen, serta memberikan perlindungan antioksidan.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
